Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1777932002	XAUUSD	M15	4521.10	4518.59282	4596.05595	4755.40355	4792.76972									4515.51271	4544.87601	4571.46478			4480.57294	4447.00795					4520.53403	4520.14161	0
1777932902	XAUUSD	M15	4519.66	4518.59282	4596.05595	4755.40355	4792.76972									4515.24511	4544.60841	4571.19718			4480.30534	4446.74034					4520.23738	4520.18950	0
1777933802	XAUUSD	M15	4519.02	4518.59282	4596.05595	4755.40355	4792.76972									4514.97751	4544.34081	4570.92958			4480.03774	4446.47274					4519.75730	4519.97340	1
1777934702	XAUUSD	M15	4517.52	4518.59282	4596.05595	4755.40355	4792.76972									4514.70990	4544.07320	4570.66197			4479.77013	4446.20514					4519.30251	4519.63796	0
1777935602	XAUUSD	M15	4520.44	4518.59282	4596.05595	4755.40355	4792.76972									4514.44230	4543.80560	4570.39437			4479.50253	4445.93753					4519.06874	4519.35335	0
1777936502	XAUUSD	M15	4521.13	4518.59282	4596.05595	4755.40355	4792.76972									4514.17469	4543.53799	4570.12676			4479.23492	4445.66993					4519.08110	4519.21723	0
1777937402	XAUUSD	M15	4518.52	4518.59282	4596.05595	4755.40355	4792.76972									4513.90709	4543.27039	4569.85916			4478.96732	4445.40232					4519.44966	4519.33344	1
1777938302	XAUUSD	M15	4519.04	4518.59282	4596.05595	4755.40355	4792.76972																				4520.35726	4519.84535	0
1777939202	XAUUSD	M15	4527.77	4518.59282	4596.05595	4755.40355	4792.76972																				4521.88741	4520.86638	0
1777940102	XAUUSD	M15	4517.12	4518.59282	4596.05595	4755.40355	4792.76972																				4523.83946	4522.35292	0
1777941002	XAUUSD	M15	4523.87	4518.59282	4596.05595	4755.40355	4792.76972																				4526.53491	4524.44392	0
1777941902	XAUUSD	M15	4530.12	4518.59282	4596.05595	4755.40355	4792.76972																				4529.72044	4527.08218	0
