Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1789721100	XAUUSD	M5	4386.84	4387.89614	4400.65566	4362.37709
1789721400	XAUUSD	M5	4392.03	4387.97792	4400.73744	4362.45887
1789721700	XAUUSD	M5	4392.24	4388.05970	4400.81922	4362.54065
1789722000	XAUUSD	M5	4395.02	4388.14148	4400.90100	4362.62243
1789722300	XAUUSD	M5	4396.18	4388.22326	4400.98278	4362.70421
1789722600	XAUUSD	M5	4394.49	4388.30503	4401.06456	4362.78599
1789722900	XAUUSD	M5	4393.13	4388.38681	4401.14634	4362.86776
1789723200	XAUUSD	M5	4391.37	4388.46859	4401.22811	4362.94954
1789723500	XAUUSD	M5	4387.97	4388.55037	4401.30989	4363.03132
1789723800	XAUUSD	M5	4385.75	4388.63215	4401.39167	4363.11310
1789724100	XAUUSD	M5	4381.36	4388.71393	4401.47345	4363.19488
1789724400	XAUUSD	M5	4376.75	4388.79570	4401.55523	4363.27666
1789724700	XAUUSD	M5	4374.73	4388.87748	4401.63701	4363.35844
1789725000	XAUUSD	M5	4378.18	4388.95926	4401.71879	4363.44021
1789725300	XAUUSD	M5	4376.55	4389.04104	4401.80056	4363.52199
1789725600	XAUUSD	M5	4377.02	4389.12282	4401.88234	4363.60377
1789725900	XAUUSD	M5	4378.96	4389.20460	4401.96412	4363.68555
1789726200	XAUUSD	M5	4379.07	4389.28638	4402.04590	4363.76733
1789726500	XAUUSD	M5	4379.65	4389.36815	4402.12768	4363.84911
1789726800	XAUUSD	M5	4379.96	4389.44993	4402.20946	4363.93089
1789727100	XAUUSD	M5	4381.46	4389.53171	4402.29124	4364.01266
1789727400	XAUUSD	M5	4381.22	4389.61349	4402.37301	4364.09444
1789727700	XAUUSD	M5	4380.84	4389.69527	4402.45479	4364.17622
1789728000	XAUUSD	M5	4381.39	4389.77705	4402.53657	4364.25800
1789728300	XAUUSD	M5	4378.86	4389.85883	4402.61835	4364.33978
1789728600	XAUUSD	M5	4377.51	4389.94060	4402.70013	4364.42156
1789728900	XAUUSD	M5	4381.79	4390.02238	4402.78191	4364.50333
