z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1789672201	XAUUSD	M5	4354.64	4354.71	4355.73	4353.57	-1	0.76857	3
1789672501	XAUUSD	M5	4352.05	4354.73	4354.73	4349.00	-1	0.08635	3
1789672801	XAUUSD	M5	4347.54	4352.05	4352.09	4347.40	-1	0.39054	3
1789673101	XAUUSD	M5	4343.35	4347.53	4349.74	4343.33	-1	0.30232	3
1789673401	XAUUSD	M5	4343.95	4343.35	4346.80	4342.77	1	0.63399	0
1789673701	XAUUSD	M5	4344.36	4343.85	4344.89	4342.96	1	0.65724	0
1789674001	XAUUSD	M5	4345.25	4344.35	4345.65	4344.28	1	0.55411	0
1789674301	XAUUSD	M5	4345.31	4345.26	4347.50	4344.20	1	0.77653	0
1789674601	XAUUSD	M5	4347.85	4345.31	4349.37	4344.88	1	0.12652	0
1789674901	XAUUSD	M5	4346.22	4347.91	4349.07	4345.96	-1	0.34723	3
1789675201	XAUUSD	M5	4344.36	4346.35	4346.93	4344.12	-1	0.26880	3
1789675501	XAUUSD	M5	4345.09	4344.36	4345.96	4343.24	1	0.59836	0
1789675801	XAUUSD	M5	4343.06	4345.03	4345.04	4342.52	-1	0.27364	3
1789676101	XAUUSD	M5	4343.28	4343.05	4344.79	4342.36	1	0.72746	0
1789676401	XAUUSD	M5	4344.04	4343.28	4344.95	4342.90	1	0.58831	0
1789676701	XAUUSD	M5	4342.17	4344.05	4345.42	4342.17	-1	0.29581	3
1789677001	XAUUSD	M5	4341.34	4342.21	4342.82	4341.18	-1	0.56076	3
1789677301	XAUUSD	M5	4342.15	4341.34	4342.36	4340.64	1	0.57524	0
1789677601	XAUUSD	M5	4341.37	4342.05	4343.64	4341.09	-1	0.60828	3
1789677901	XAUUSD	M5	4342.09	4340.97	4342.38	4340.64	1	0.49245	0
1789678201	XAUUSD	M5	4341.80	4342.09	4342.43	4340.60	-1	0.70653	3
1789678501	XAUUSD	M5	4341.70	4341.57	4342.45	4340.99	1	0.74837	0
1789682401	XAUUSD	M5	4342.97	4343.25	4345.38	4342.62	-1	0.70689	3
1789682701	XAUUSD	M5	4342.68	4343.02	4343.20	4341.88	-1	0.69068	3
1789683001	XAUUSD	M5	4344.46	4342.68	4344.97	4341.89	1	0.31410	0
1789683301	XAUUSD	M5	4341.96	4344.48	4345.03	4341.94	-1	0.11943	3
1789683601	XAUUSD	M5	4342.75	4341.96	4343.66	4341.75	1	0.57023	0
1789683901	XAUUSD	M5	4344.92	4342.77	4344.93	4341.77	1	0.21609	0
1789684201	XAUUSD	M5	4347.11	4344.87	4348.15	4344.74	1	0.19068	0
1789684501	XAUUSD	M5	4348.82	4347.15	4349.48	4346.99	1	0.33844	0
1789684801	XAUUSD	M5	4344.46	4348.79	4348.90	4344.29	-1	0.35610	3
