zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1789653901	XAUUSD	M5	4377.16000	Peak	4379.91000	24.42000	0.56	0	4	0	6.10500	1	80.6976	LH
1789657201	XAUUSD	M5	4355.88000	Bottom	4351.41000	-28.50000	-0.65	3	11	3	-2.59091	3	-68.8952	LL
1789660801	XAUUSD	M5	4369.77000	Peak	4372.44000	21.03000	0.48	0	12	0	1.75250	0	60.2903	LH
1789664101	XAUUSD	M5	4362.37000	Bottom	4356.04000	-16.40000	-0.38	3	11	3	-1.49091	3	-56.1490	HL
1789668901	XAUUSD	M5	4360.97000	Peak	4365.59000	9.55000	0.22	0	16	0	0.59688	0	30.8319	LH
1789678201	XAUUSD	M5	4341.80000	Bottom	4340.60000	-24.99000	-0.57	3	31	3	-0.80613	3	-38.8733	LL
1789684501	XAUUSD	M5	4348.82000	Peak	4349.48000	8.88000	0.20	0	9	0	0.98667	0	44.6155	LH
1789686301	XAUUSD	M5	4344.39000	Bottom	4339.75000	-9.73000	-0.22	3	6	3	-1.62167	3	-58.3400	LL
1789693501	XAUUSD	M5	4361.40000	Peak	4365.57000	25.82000	0.59	0	24	0	1.07583	0	47.0922	HH
1789696201	XAUUSD	M5	4349.17000	Bottom	4343.99000	-21.58000	-0.49	3	9	3	-2.39778	3	-67.3613	HL
1789698901	XAUUSD	M5	4352.15000	Peak	4356.52000	12.53000	0.29	0	9	0	1.39222	0	54.3112	LH
1789701901	XAUUSD	M5	4340.96000	Bottom	4334.45000	-22.07000	-0.51	3	10	3	-2.20700	3	-65.6245	LL
1789717801	XAUUSD	M5	4397.16000	Peak	4399.56000	65.11000	1.50	1	53	2	1.22849	0	50.8542	HH
1789720801	XAUUSD	M5	4386.82000	Bottom	4385.20000	-14.36000	-0.33	3	10	3	-1.43600	3	-55.1475	HL
1789722601	XAUUSD	M5	4394.49000	Peak	4398.14000	12.94000	0.30	0	6	0	2.15667	0	65.1239	LH
1789724701	XAUUSD	M5	4374.73000	Bottom	4373.38000	-24.76000	-0.56	3	7	3	-3.53714	3	-74.2137	LL
1789729801	XAUUSD	M5	4388.22000	Peak	4388.49000	15.11000	0.35	0	17	0	0.88882	0	41.6314	LH
1789741801	XAUUSD	M5	4346.94000	Bottom	4342.77000	-45.72000	-1.04	3	40	3	-1.14300	3	-48.8176	LL
1789753801	XAUUSD	M5	4393.28000	Peak	4396.81000	54.04000	1.24	0	40	0	1.35100	0	53.4914	HH
1789761301	XAUUSD	M5	4376.88000	Bottom	4374.90000	-21.91000	-0.50	3	25	3	-0.87640	3	-41.2313	HL
1789899179	XAUUSD	M5	4377.99000	Peak	4383.35000	8.45000	0.19	0	12	0	0.70417	0	35.1519	LH
