timestamp	symbol	timeframe	close	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8
1772087998	XAUUSD	M5	5196.44	5193.35	5178.60	5161.89	5135.85	5205.31			
1772088298	XAUUSD	M5	5192.80	5178.60	5161.89	5135.85		5193.35	5205.31		
1772088598	XAUUSD	M5	5192.66	5178.60	5161.89	5135.85		5193.35	5205.31		
1772088898	XAUUSD	M5	5193.26	5178.60	5161.89	5135.85		5193.35	5205.31		
1772089198	XAUUSD	M5	5190.96	5178.60	5161.89	5135.85		5193.35	5205.31		
1772089498	XAUUSD	M5	5184.75	5178.60	5161.89	5135.85		5193.35	5205.31		
1772089798	XAUUSD	M5	5187.62	5178.60	5161.89	5135.85		5193.35	5205.31		
1772090098	XAUUSD	M5	5188.55	5178.60	5161.89	5135.85		5193.35	5205.31		
1772090398	XAUUSD	M5	5186.04	5178.60	5161.89	5135.85		5193.35	5205.31		
1772090698	XAUUSD	M5	5184.88	5178.60	5161.89	5135.85		5193.35	5205.31		
1772090998	XAUUSD	M5	5186.15	5178.60	5161.89	5135.85		5193.35	5205.31		
1772091298	XAUUSD	M5	5188.35	5178.60	5161.89	5135.85		5193.35	5205.31		
1772091598	XAUUSD	M5	5186.49	5178.60	5161.89	5135.85		5193.35	5205.31		
1772091898	XAUUSD	M5	5181.91	5178.60	5161.89	5135.85		5193.35	5205.31		
1772092198	XAUUSD	M5	5183.70	5178.60	5161.89	5135.85		5193.35	5205.31		
1772092498	XAUUSD	M5	5186.02	5178.60	5161.89	5135.85		5193.35	5205.31		
1772092798	XAUUSD	M5	5181.47	5178.60	5161.89	5135.85		5193.35	5205.31		
1772093098	XAUUSD	M5	5183.96	5178.60	5161.89	5135.85		5193.35	5205.31		
1772093398	XAUUSD	M5	5189.48	5178.60	5161.89	5135.85		5193.35	5205.31		
1772093698	XAUUSD	M5	5187.25	5178.60	5161.89	5135.85		5193.35	5205.31		
1772093998	XAUUSD	M5	5187.01	5178.60	5161.89	5135.85		5193.35	5205.31		
1772094298	XAUUSD	M5	5176.99	5161.89	5135.85			5178.60	5193.35	5205.31	
1772094598	XAUUSD	M5	5175.06	5161.89	5135.85			5178.60	5193.35	5205.31	
1772094898	XAUUSD	M5	5174.82	5161.89	5135.85			5178.60	5193.35	5205.31	
1772095198	XAUUSD	M5	5174.28	5161.89	5135.85			5178.60	5193.35	5205.31	
1772095498	XAUUSD	M5	5179.75	5178.60	5161.89	5135.85		5193.35	5205.31		
1772095798	XAUUSD	M5	5178.38	5161.89	5135.85			5178.60	5193.35	5205.31	
1772096098	XAUUSD	M5	5179.41	5178.60	5161.89	5135.85		5193.35	5205.31		
1772096398	XAUUSD	M5	5174.44	5161.89	5135.85			5178.60	5193.35	5205.31	
1772096698	XAUUSD	M5	5178.01	5161.89	5135.85			5178.60	5193.35	5205.31	
1772096998	XAUUSD	M5	5181.64	5178.60	5161.89	5135.85		5193.35	5205.31		
1772097298	XAUUSD	M5	5176.99	5161.89	5135.85			5178.60	5193.35	5205.31	
1772097598	XAUUSD	M5	5176.56	5161.89	5135.85			5178.60	5193.35	5205.31	
1772097898	XAUUSD	M5	5181.20	5178.60	5161.89	5135.85		5193.35	5205.31		
1772098198	XAUUSD	M5	5181.63	5178.60	5161.89	5135.85		5193.35	5205.31		
1772098498	XAUUSD	M5	5183.30	5178.60	5161.89	5135.85		5193.35	5205.31		
1772098798	XAUUSD	M5	5181.50	5178.60	5161.89	5135.85		5193.35	5205.31		
1772099098	XAUUSD	M5	5184.64	5178.60	5161.89	5135.85		5193.35	5205.31		
1772099398	XAUUSD	M5	5186.98	5178.60	5161.89	5135.85		5193.35	5205.31		
1772099698	XAUUSD	M5	5186.32	5178.60	5161.89	5135.85		5193.35	5205.31		
1772099998	XAUUSD	M5	5189.51	5178.60	5161.89	5135.85		5193.35	5205.31		
1772100298	XAUUSD	M5	5188.45	5178.60	5161.89	5135.85		5193.35	5205.31		
1772100598	XAUUSD	M5	5187.89	5178.60	5161.89	5135.85		5193.35	5205.31		
1772100898	XAUUSD	M5	5182.85	5178.60	5161.89	5135.85		5193.35	5205.31		
1772101198	XAUUSD	M5	5183.60	5178.60	5161.89	5135.85		5193.35	5205.31		
1772101498	XAUUSD	M5	5179.29	5178.60	5161.89	5135.85		5193.35	5205.31		
1772101798	XAUUSD	M5	5177.04	5161.89	5135.85			5178.60	5193.35	5205.31	
1772102098	XAUUSD	M5	5176.09	5161.89	5135.85			5178.60	5193.35	5205.31	
1772102398	XAUUSD	M5	5172.13	5161.89	5135.85			5178.60	5193.35	5205.31	
1772102698	XAUUSD	M5	5171.17	5161.89	5135.85			5178.60	5193.35	5205.31	
1772102998	XAUUSD	M5	5173.60	5161.89	5135.85			5178.60	5193.35	5205.31	
1772103298	XAUUSD	M5	5171.61	5161.89	5135.85			5178.60	5193.35	5205.31	
1772103598	XAUUSD	M5	5173.83	5161.89	5135.85			5178.60	5193.35	5205.31	
1772103898	XAUUSD	M5	5177.33	5161.89	5135.85			5178.60	5193.35	5205.31	
1772104198	XAUUSD	M5	5175.85	5161.89	5135.85			5178.60	5193.35	5205.31	
1772104498	XAUUSD	M5	5175.54	5161.89	5135.85			5178.60	5193.35	5205.31	
1772104798	XAUUSD	M5	5171.70	5161.89	5135.85			5178.60	5193.35	5205.31	
1772105098	XAUUSD	M5	5171.88	5161.89	5135.85			5178.60	5193.35	5205.31	
1772105398	XAUUSD	M5	5173.38	5161.89	5135.85			5178.60	5193.35	5205.31	
1772105698	XAUUSD	M5	5173.54	5161.89	5135.85			5178.60	5193.35	5205.31	
1772105998	XAUUSD	M5	5174.68	5161.89	5135.85			5178.60	5193.35	5205.31	
1772106298	XAUUSD	M5	5171.40	5161.89	5135.85			5178.60	5193.35	5205.31	
1772106598	XAUUSD	M5	5163.51	5161.89	5135.85			5178.60	5193.35	5205.31	
1772106898	XAUUSD	M5	5164.71	5161.89	5135.85			5178.60	5193.35	5205.31	
1772107198	XAUUSD	M5	5165.67	5161.89	5135.85			5178.60	5193.35	5205.31	
1772107498	XAUUSD	M5	5169.15	5161.89	5135.85			5178.60	5193.35	5205.31	
1772107798	XAUUSD	M5	5168.46	5161.89	5135.85			5178.60	5193.35	5205.31	
1772108098	XAUUSD	M5	5172.18	5161.89	5135.85			5178.60	5193.35	5205.31	
1772108398	XAUUSD	M5	5176.52	5161.89	5135.85			5178.60	5193.35	5205.31	
1772108698	XAUUSD	M5	5178.54	5161.89	5135.85			5178.60	5193.35	5205.31	
1772108998	XAUUSD	M5	5183.10	5178.60	5161.89	5135.85		5193.35	5205.31		
1772109298	XAUUSD	M5	5182.34	5178.60	5161.89	5135.85		5193.35	5205.31		
1772109598	XAUUSD	M5	5187.52	5178.60	5161.89	5135.85		5193.35	5205.31		
1772109898	XAUUSD	M5	5181.29	5178.60	5161.89	5135.85		5193.35	5205.31		
1772110198	XAUUSD	M5	5181.25	5178.60	5161.89	5135.85		5193.35	5205.31		
1772110498	XAUUSD	M5	5183.85	5178.60	5161.89	5135.85		5193.35	5205.31		
1772110798	XAUUSD	M5	5175.76	5161.89	5135.85			5178.60	5193.35	5205.31	
1772111098	XAUUSD	M5	5172.50	5161.89	5135.85			5178.60	5193.35	5205.31	
1772111398	XAUUSD	M5	5174.00	5161.89	5135.85			5178.60	5193.35	5205.31	
1772111698	XAUUSD	M5	5171.65	5161.89	5135.85			5178.60	5193.35	5205.31	
1772111998	XAUUSD	M5	5178.12	5161.89	5135.85			5178.60	5193.35	5205.31	
1772112298	XAUUSD	M5	5174.76	5161.89	5135.85			5178.60	5193.35	5205.31	
1772112598	XAUUSD	M5	5174.36	5161.89	5135.85			5178.60	5193.35	5205.31	
1772112898	XAUUSD	M5	5173.61	5161.89	5135.85			5178.60	5193.35	5205.31	
1772113198	XAUUSD	M5	5165.14	5161.89	5135.85			5178.60	5193.35	5205.31	
1772113498	XAUUSD	M5	5168.76	5161.89	5135.85			5178.60	5193.35	5205.31	
1772113798	XAUUSD	M5	5170.80	5161.89	5135.85			5178.60	5193.35	5205.31	
1772114098	XAUUSD	M5	5166.39	5161.89	5135.85			5178.60	5193.35	5205.31	
1772114398	XAUUSD	M5	5166.06	5161.89	5135.85			5178.60	5193.35	5205.31	
1772114698	XAUUSD	M5	5163.55	5161.89	5135.85			5178.60	5193.35	5205.31	
1772114998	XAUUSD	M5	5166.28	5161.89	5135.85			5178.60	5193.35	5205.31	
1772115298	XAUUSD	M5	5167.02	5161.89	5135.85			5178.60	5193.35	5205.31	
1772115598	XAUUSD	M5	5168.82	5161.89	5135.85			5178.60	5193.35	5205.31	
1772115898	XAUUSD	M5	5170.41	5161.89	5135.85			5178.60	5193.35	5205.31	
1772116198	XAUUSD	M5	5165.83	5161.89	5135.85			5178.60	5193.35	5205.31	
1772116498	XAUUSD	M5	5166.41	5161.89	5135.85			5178.60	5193.35	5205.31	
1772116798	XAUUSD	M5	5172.56	5161.89	5135.85			5178.60	5193.35	5205.31	
1772117098	XAUUSD	M5	5171.99	5161.89	5135.85			5178.60	5193.35	5205.31	
1772117398	XAUUSD	M5	5167.91	5161.89	5135.85			5178.60	5193.35	5205.31	
1772117698	XAUUSD	M5	5165.14	5161.89	5135.85			5178.60	5193.35	5205.31	
1772117998	XAUUSD	M5	5167.70	5161.89	5135.85			5178.60	5193.35	5205.31	
1772118298	XAUUSD	M5	5167.21	5161.89	5135.85			5178.60	5193.35	5205.31	
1772118598	XAUUSD	M5	5162.38	5161.89	5135.85			5178.60	5193.35	5205.31	
1772118898	XAUUSD	M5	5158.57	5135.85				5161.89	5178.60	5193.35	5205.31
1772119198	XAUUSD	M5	5154.46	5135.85				5161.89	5178.60	5193.35	5205.31
1772119498	XAUUSD	M5	5141.51	5135.85				5161.89	5178.60	5193.35	5205.31
1772119798	XAUUSD	M5	5153.62	5135.85				5161.89	5178.60	5193.35	5205.31
1772120098	XAUUSD	M5	5169.23	5161.89	5135.85			5178.60	5193.35	5205.31	
1772120398	XAUUSD	M5	5175.56	5161.89	5135.85			5178.60	5193.35	5205.31	
1772120698	XAUUSD	M5	5182.38	5178.60	5161.89	5135.85		5193.35	5205.31		
1772120998	XAUUSD	M5	5189.70	5178.60	5161.89	5135.85		5193.35	5205.31		
1772121298	XAUUSD	M5	5185.86	5178.60	5161.89	5135.85		5193.35	5205.31		
1772121598	XAUUSD	M5	5178.92	5178.60	5161.89	5135.85		5193.35	5205.31		
1772121898	XAUUSD	M5	5177.76	5161.89	5135.85			5178.60	5193.35	5205.31	
