timestamp	symbol	timeframe	close	zigzag_high	zigzag_low	ema
1771956300	XAUUSD	M5	5168.50	5170.15	0.00	5153.52
1771956600	XAUUSD	M5	5164.24	0.00	0.00	5154.40
1771956900	XAUUSD	M5	5159.84	0.00	0.00	5154.93
1771957200	XAUUSD	M5	5159.11	0.00	0.00	5155.26
1771957500	XAUUSD	M5	5158.28	0.00	0.00	5155.47
1771957800	XAUUSD	M5	5156.52	0.00	0.00	5155.63
1771958100	XAUUSD	M5	5157.95	0.00	0.00	5155.72
1771958400	XAUUSD	M5	5159.11	0.00	0.00	5155.96
1771958700	XAUUSD	M5	5159.63	0.00	0.00	5156.17
1771959000	XAUUSD	M5	5160.33	0.00	0.00	5156.49
1771959300	XAUUSD	M5	5160.06	0.00	0.00	5156.80
1771959600	XAUUSD	M5	5156.40	0.00	0.00	5156.84
1771959900	XAUUSD	M5	5152.84	0.00	0.00	5156.66
1771960200	XAUUSD	M5	5156.29	0.00	0.00	5156.48
1771960500	XAUUSD	M5	5148.93	0.00	0.00	5156.14
1771960800	XAUUSD	M5	5147.34	0.00	5146.42	5155.59
1771961100	XAUUSD	M5	5151.59	0.00	0.00	5155.22
1771961400	XAUUSD	M5	5153.64	0.00	0.00	5155.00
1771961700	XAUUSD	M5	5155.71	0.00	0.00	5155.01
1771962000	XAUUSD	M5	5152.26	0.00	0.00	5154.91
1771962300	XAUUSD	M5	5154.36	0.00	0.00	5154.82
1771962600	XAUUSD	M5	5152.80	0.00	0.00	5154.71
1771962900	XAUUSD	M5	5154.01	0.00	0.00	5154.66
1771963200	XAUUSD	M5	5153.22	0.00	0.00	5154.57
1771963500	XAUUSD	M5	5149.67	0.00	0.00	5154.27
1771963800	XAUUSD	M5	5149.23	0.00	0.00	5153.88
1771964100	XAUUSD	M5	5154.84	0.00	0.00	5153.80
1771964400	XAUUSD	M5	5164.95	0.00	0.00	5154.37
1771964700	XAUUSD	M5	5168.21	0.00	0.00	5155.31
1771965000	XAUUSD	M5	5170.42	0.00	0.00	5156.27
1771965300	XAUUSD	M5	5169.62	0.00	0.00	5157.28
1771965600	XAUUSD	M5	5172.26	5173.16	0.00	5158.29
1771965900	XAUUSD	M5	5168.22	0.00	0.00	5159.09
1771966200	XAUUSD	M5	5163.69	0.00	0.00	5159.53
1771966500	XAUUSD	M5	5164.24	0.00	0.00	5159.74
1771966800	XAUUSD	M5	5158.21	0.00	0.00	5159.80
1771967100	XAUUSD	M5	5157.54	0.00	0.00	5159.64
1771967400	XAUUSD	M5	5161.12	0.00	0.00	5159.64
1771967700	XAUUSD	M5	5158.33	0.00	0.00	5159.63
1771968000	XAUUSD	M5	5153.97	0.00	0.00	5159.34
1771968300	XAUUSD	M5	5155.44	0.00	0.00	5159.04
1771968600	XAUUSD	M5	5149.86	0.00	0.00	5158.51
1771968900	XAUUSD	M5	5149.81	0.00	0.00	5157.82
1771969200	XAUUSD	M5	5150.79	0.00	0.00	5157.21
1771969500	XAUUSD	M5	5148.20	0.00	0.00	5156.60
1771969800	XAUUSD	M5	5145.11	0.00	0.00	5155.74
1771970100	XAUUSD	M5	5143.97	0.00	0.00	5154.91
1771974000	XAUUSD	M5	5135.96	0.00	5121.81	5153.43
1771974300	XAUUSD	M5	5133.97	0.00	0.00	5151.98
1771974600	XAUUSD	M5	5135.82	0.00	0.00	5150.68
1771974900	XAUUSD	M5	5132.46	0.00	0.00	5149.48
1771975200	XAUUSD	M5	5132.69	0.00	0.00	5148.23
1771975500	XAUUSD	M5	5130.99	0.00	0.00	5146.99
1771975800	XAUUSD	M5	5131.98	0.00	0.00	5145.96
1771976100	XAUUSD	M5	5138.91	0.00	0.00	5145.29
1771976400	XAUUSD	M5	5147.23	0.00	0.00	5145.27
1771976700	XAUUSD	M5	5150.22	0.00	0.00	5145.55
1771977000	XAUUSD	M5	5150.60	0.00	0.00	5145.92
1771977300	XAUUSD	M5	5146.72	0.00	0.00	5146.07
1771977600	XAUUSD	M5	5140.34	0.00	0.00	5145.87
1771977900	XAUUSD	M5	5143.30	0.00	0.00	5145.55
1771978200	XAUUSD	M5	5140.57	0.00	0.00	5145.21
1771978500	XAUUSD	M5	5143.05	0.00	0.00	5145.01
1771978800	XAUUSD	M5	5142.90	0.00	0.00	5144.94
1771979100	XAUUSD	M5	5140.27	0.00	0.00	5144.61
1771979400	XAUUSD	M5	5147.64	0.00	0.00	5144.75
1771979700	XAUUSD	M5	5152.05	0.00	0.00	5145.18
1771980000	XAUUSD	M5	5147.80	0.00	0.00	5145.52
1771980300	XAUUSD	M5	5144.60	0.00	0.00	5145.46
1771980600	XAUUSD	M5	5147.47	0.00	0.00	5145.51
1771980900	XAUUSD	M5	5152.30	0.00	0.00	5145.95
1771981200	XAUUSD	M5	5159.26	0.00	0.00	5146.61
1771981500	XAUUSD	M5	5168.85	0.00	0.00	5148.03
1771981800	XAUUSD	M5	5174.67	0.00	0.00	5149.73
1771982100	XAUUSD	M5	5184.25	0.00	0.00	5151.97
