timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1771920600	XAUUSD	M5	5171.86	5177.07	5171.21
1771920900	XAUUSD	M5	5168.05	5174.81	5168.15
1771921200	XAUUSD	M5	5173.58	5173.80	5166.03
1771921500	XAUUSD	M5	5170.52	5173.63	5167.18
1771921800	XAUUSD	M5	5180.56	5176.80	5167.96
1771922100	XAUUSD	M5	5178.96	5179.19	5172.46
1771922400	XAUUSD	M5	5174.90	5179.74	5173.67
1771922700	XAUUSD	M5	5172.38	5177.70	5171.77
1771923000	XAUUSD	M5	5171.81	5176.06	5171.23
1771923300	XAUUSD	M5	5173.59	5176.16	5171.10
1771923600	XAUUSD	M5	5176.56	5176.99	5171.75
1771923900	XAUUSD	M5	5177.61	5178.51	5173.65
1771924200	XAUUSD	M5	5172.56	5178.21	5172.85
1771924500	XAUUSD	M5	5172.21	5176.67	5172.19
1771924800	XAUUSD	M5	5170.45	5175.23	5170.50
1771925100	XAUUSD	M5	5168.37	5173.71	5169.03
1771925400	XAUUSD	M5	5172.74	5173.22	5168.38
1771925700	XAUUSD	M5	5170.42	5172.95	5167.15
1771926000	XAUUSD	M5	5170.03	5172.30	5167.65
1771926300	XAUUSD	M5	5170.00	5171.19	5167.20
1771926600	XAUUSD	M5	5170.50	5171.15	5168.21
1771926900	XAUUSD	M5	5171.47	5171.70	5168.93
1771927200	XAUUSD	M5	5175.98	5173.57	5169.91
1771927500	XAUUSD	M5	5173.19	5174.82	5171.31
1771927800	XAUUSD	M5	5174.63	5175.03	5172.38
1771928100	XAUUSD	M5	5173.97	5175.37	5172.75
1771928400	XAUUSD	M5	5180.58	5178.38	5173.69
1771928700	XAUUSD	M5	5175.97	5180.04	5175.18
1771929000	XAUUSD	M5	5167.24	5179.08	5171.34
1771929300	XAUUSD	M5	5166.79	5176.03	5167.44
1771929600	XAUUSD	M5	5170.39	5173.99	5166.02
1771929900	XAUUSD	M5	5170.29	5172.59	5166.96
1771930200	XAUUSD	M5	5172.72	5172.46	5167.74
1771930500	XAUUSD	M5	5172.82	5173.16	5169.34
1771930800	XAUUSD	M5	5175.76	5174.42	5171.01
1771931100	XAUUSD	M5	5173.66	5175.50	5171.85
1771931400	XAUUSD	M5	5176.37	5176.47	5172.87
1771931700	XAUUSD	M5	5174.00	5176.89	5173.47
1771932000	XAUUSD	M5	5171.96	5175.90	5172.69
1771932300	XAUUSD	M5	5174.68	5175.57	5172.51
1771932600	XAUUSD	M5	5174.23	5175.39	5173.21
1771932900	XAUUSD	M5	5176.43	5176.04	5173.38
1771933200	XAUUSD	M5	5178.18	5177.19	5174.77
1771933500	XAUUSD	M5	5173.77	5178.08	5174.19
1771933800	XAUUSD	M5	5175.54	5177.14	5173.43
1771934100	XAUUSD	M5	5172.69	5177.05	5172.97
1771934400	XAUUSD	M5	5169.59	5175.40	5171.25
1771934700	XAUUSD	M5	5170.71	5173.97	5169.61
1771935000	XAUUSD	M5	5167.55	5172.24	5167.13
1771935300	XAUUSD	M5	5151.32	5169.95	5156.77
1771935600	XAUUSD	M5	5158.40	5165.47	5152.08
1771935900	XAUUSD	M5	5161.67	5163.31	5152.71
1771936200	XAUUSD	M5	5159.53	5162.75	5153.32
1771936500	XAUUSD	M5	5156.46	5160.20	5152.36
1771936800	XAUUSD	M5	5158.08	5158.82	5152.25
1771937100	XAUUSD	M5	5154.50	5157.75	5152.32
1771937400	XAUUSD	M5	5147.04	5155.53	5148.21
1771937700	XAUUSD	M5	5150.85	5153.70	5146.38
