timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1744212600	XAUUSD	M5	5167.67	5167.57	5170.56	5167.56	5168.88	1	1.31	-0.65899	11
1744212900	XAUUSD	M5	5169.86	5165.38	5172.51	5165.38	5169.76	1	4.38	0.34309	12
1744213200	XAUUSD	M5	5168.85	5163.77	5169.48	5163.77	5166.99	1	3.21	-0.04006	13
1744213500	XAUUSD	M5	5165.08	5165.43	5165.54	5158.16	5162.11	-1	3.32	-0.00618	-1
1744213800	XAUUSD	M5	5159.68	5169.79	5169.79	5155.4	5161.07	-1	8.72	1.76672	-2
1744214100	XAUUSD	M5	5163.64	5172.95	5172.95	5162.94	5166.63	-1	6.32	0.99261	-3
1744214400	XAUUSD	M5	5169.77	5174.27	5175.91	5169.45	5171.63	-1	2.65	-0.21117	-4
1744214700	XAUUSD	M5	5171.44	5175.24	5175.27	5171.39	5173.3	-1	1.93	-0.44592	-5
1744215000	XAUUSD	M5	5175.16	5175.58	5176.36	5173.56	5174.9	-1	0.68	-0.8616	-6
1744215300	XAUUSD	M5	5174.48	5176.6	5176.6	5172.52	5174.56	-1	2.04	-0.41146	-7
1744215600	XAUUSD	M5	5175.4	5177.13	5177.29	5174.71	5176.06	-1	1.07	-0.72816	-8
1744215900	XAUUSD	M5	5176.86	5176.02	5181.03	5176.02	5178.25	1	2.23	-0.34653	1
1744216200	XAUUSD	M5	5179.02	5175.81	5179.06	5173.41	5176.23	1	0.41	-0.94212	2
1744216500	XAUUSD	M5	5173.24	5177.86	5177.86	5170.4	5173.76	-1	4.11	0.27242	-1
1744216800	XAUUSD	M5	5175.13	5180.31	5180.31	5172.43	5175.41	-1	4.9	0.53748	-2
1744217100	XAUUSD	M5	5174.18	5183.88	5183.88	5174.13	5176.74	-1	7.14	1.27493	-3
1744217400	XAUUSD	M5	5177.7	5186.75	5186.75	5176.96	5181.01	-1	5.74	0.82421	-4
1744217700	XAUUSD	M5	5184.63	5189.03	5189.03	5182.99	5184.47	-1	4.56	0.43694	-5
1744218000	XAUUSD	M5	5184.33	5191.26	5191.26	5184.24	5186.8	-1	4.46	0.40791	-6
1744218300	XAUUSD	M5	5188.91	5191.05	5195.14	5188.39	5191.47	1	0.42	-0.92296	1
1744218600	XAUUSD	M5	5193.27	5190.9	5193.7	5187.96	5191.2	1	0.3	-0.96274	2
1744218900	XAUUSD	M5	5190.48	5190.63	5194.54	5189.02	5191.16	1	0.53	-0.88688	3
1744219200	XAUUSD	M5	5190.63	5190.2	5192.04	5190.1	5191.06	1	0.86	-0.78146	4
1744219500	XAUUSD	M5	5191.02	5189.02	5192.96	5189.02	5191.38	1	2.36	-0.29139	5
1744219800	XAUUSD	M5	5191.08	5187.11	5193.83	5187.11	5190.93	1	3.81	0.19291	6
1744220100	XAUUSD	M5	5189.38	5186.3	5189.69	5185.91	5187.93	1	1.63	-0.52964	7
