z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1788247803	XAUUSD	M15	4418.33	4426.22	4428.26	4412.27	-1	0.59526	3
1788248703	XAUUSD	M15	4420.21	4418.21	4423.33	4417.04	1	0.54496	0
1788249603	XAUUSD	M15	4405.52	4419.79	4419.79	4389.52	-1	1.81818	4
1788250503	XAUUSD	M15	4383.03	4405.52	4405.77	4381.85	-1	3.35222	5
1788251403	XAUUSD	M15	4375.72	4382.94	4383.78	4370.08	-1	0.45183	3
1788252303	XAUUSD	M15	4370.94	4375.64	4378.57	4369.59	-1	0.03093	3
1788253203	XAUUSD	M15	4376.08	4370.86	4376.15	4366.53	1	0.06987	0
1788254103	XAUUSD	M15	4372.95	4376.08	4378.16	4370.71	-1	0.32983	3
1788255003	XAUUSD	M15	4371.67	4372.95	4373.10	4365.66	-1	0.68289	3
1788255903	XAUUSD	M15	4364.91	4371.67	4373.74	4364.64	-1	0.36330	3
1788256803	XAUUSD	M15	4378.33	4364.71	4381.91	4364.22	1	1.66790	1
1788257703	XAUUSD	M15	4384.98	4378.34	4385.62	4378.33	1	0.33334	0
1788258603	XAUUSD	M15	4381.61	4385.01	4385.91	4381.61	-1	0.28433	3
1788259503	XAUUSD	M15	4378.18	4381.75	4381.75	4375.13	-1	0.25101	3
1788260403	XAUUSD	M15	4377.25	4378.23	4383.10	4375.96	-1	0.74540	3
1788261303	XAUUSD	M15	4380.61	4377.13	4381.98	4374.91	1	0.26841	0
1788262203	XAUUSD	M15	4384.31	4380.54	4384.78	4378.38	1	0.21454	0
1788263103	XAUUSD	M15	4374.77	4384.01	4387.27	4371.99	-1	0.82823	3
1788264003	XAUUSD	M15	4370.97	4374.47	4374.64	4366.94	-1	0.26598	3
1788264903	XAUUSD	M15	4368.53	4370.71	4376.02	4366.00	-1	0.51863	3
1788265803	XAUUSD	M15	4364.88	4368.53	4368.74	4352.01	-1	0.23905	3
1788266703	XAUUSD	M15	4356.39	4364.82	4369.73	4356.20	-1	0.67252	3
1788267603	XAUUSD	M15	4329.61	4356.24	4357.46	4326.21	-1	4.06027	5
1788268503	XAUUSD	M15	4342.99	4329.60	4344.68	4326.47	1	1.56980	1
1788269403	XAUUSD	M15	4361.82	4343.01	4362.31	4341.29	1	2.55724	2
1788270303	XAUUSD	M15	4365.84	4361.74	4367.22	4354.24	1	0.17383	0
1788271203	XAUUSD	M15	4370.22	4365.19	4370.45	4353.34	1	0.00018	0
1788272103	XAUUSD	M15	4365.94	4370.35	4375.62	4365.94	-1	0.11618	3
1788273003	XAUUSD	M15	4367.01	4365.80	4373.22	4364.28	1	0.70937	0
1788273903	XAUUSD	M15	4360.28	4367.03	4370.20	4356.87	-1	0.31740	3
1788274803	XAUUSD	M15	4357.07	4360.38	4362.99	4355.24	-1	0.32080	3
1788275703	XAUUSD	M15	4365.70	4357.33	4365.78	4356.36	1	0.61785	0
1788276603	XAUUSD	M15	4370.79	4365.77	4370.89	4361.69	1	0.00399	0
1788277503	XAUUSD	M15	4372.90	4370.69	4373.85	4368.65	1	0.52611	0
1788278403	XAUUSD	M15	4362.56	4373.14	4374.72	4362.50	-1	1.02364	3
1788279303	XAUUSD	M15	4352.90	4362.34	4365.56	4352.57	-1	0.80955	3
1788280203	XAUUSD	M15	4354.87	4351.62	4357.73	4347.09	1	0.33497	0
1788281103	XAUUSD	M15	4351.28	4354.77	4359.14	4351.15	-1	0.29191	3
1788282003	XAUUSD	M15	4346.39	4351.37	4351.93	4344.37	-1	0.01468	3
1788282903	XAUUSD	M15	4349.96	4346.44	4350.09	4342.95	1	0.28704	0
