zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1788218403	XAUUSD	M5	4443.11000	Bottom	4441.75000	-14.10000	-0.32	3	14	3	-1.00714	3	-45.2039	LL
1788222003	XAUUSD	M5	4457.94000	Peak	4461.41000	19.66000	0.44	0	12	0	1.63833	0	58.6011	HH
1788226203	XAUUSD	M5	4442.92000	Bottom	4436.46000	-24.95000	-0.56	3	14	3	-1.78214	3	-60.7022	LL
1788228603	XAUUSD	M5	4445.07000	Peak	4449.14000	12.68000	0.29	0	8	0	1.58500	0	57.7516	LH
1788238203	XAUUSD	M5	4429.32000	Bottom	4425.39000	-23.75000	-0.53	3	32	4	-0.74219	3	-36.5823	LL
1788242103	XAUUSD	M5	4440.15000	Peak	4445.96000	20.57000	0.46	0	13	0	1.58231	0	57.7076	LH
1788256803	XAUUSD	M5	4368.47000	Bottom	4364.22000	-81.74000	-1.84	5	49	5	-1.66816	3	-59.0589	LL
1788259203	XAUUSD	M5	4381.61000	Peak	4385.91000	21.69000	0.50	0	8	0	2.71125	0	69.7543	LH
1788261303	XAUUSD	M5	4376.04000	Bottom	4374.91000	-11.00000	-0.25	3	7	3	-1.57143	3	-57.5288	HL
1788263103	XAUUSD	M5	4385.15000	Peak	4387.27000	12.36000	0.28	0	6	0	2.06000	0	64.1064	HH
1788268203	XAUUSD	M5	4329.61000	Bottom	4326.21000	-61.06000	-1.39	3	17	3	-3.59176	3	-74.4420	LL
1788272403	XAUUSD	M5	4373.66000	Peak	4375.62000	49.41000	1.14	0	14	0	3.52929	0	74.1803	LH
1788291603	XAUUSD	M5	4326.44000	Bottom	4322.72000	-52.90000	-1.21	3	64	5	-0.82656	3	-39.5759	LL
1788300003	XAUUSD	M5	4331.23000	Peak	4334.35000	11.63000	0.27	0	16	0	0.72688	0	36.0125	LH
1788302403	XAUUSD	M5	4328.31000	Bottom	4326.35000	-8.00000	-0.18	3	8	3	-1.00000	3	-45.0000	HL
1788304203	XAUUSD	M5	4330.63000	Peak	4332.55000	6.20000	0.14	0	6	0	1.03333	0	45.9392	LH
1788305103	XAUUSD	M5	4330.87000	Bottom	4326.26000	-6.29000	-0.15	3	3	3	-2.09667	3	-64.5013	LL
1788305703	XAUUSD	M5	4334.94000	Peak	4335.76000	9.50000	0.22	0	2	0	4.75000	0	78.1113	HH
1788314403	XAUUSD	M5	4295.74000	Bottom	4287.38000	-48.38000	-1.12	3	29	3	-1.66828	3	-59.0606	LL
1788316503	XAUUSD	M5	4312.28000	Peak	4314.76000	27.38000	0.64	0	7	0	3.91143	0	75.6589	LH
1788320103	XAUUSD	M5	4291.47000	Bottom	4282.53000	-32.23000	-0.75	3	12	3	-2.68583	3	-69.5785	LL
1788329403	XAUUSD	M5	4326.55000	Peak	4329.26000	46.73000	1.09	0	31	0	1.50742	0	56.4403	HH
1788331803	XAUUSD	M5	4316.23000	Bottom	4314.57000	-14.69000	-0.34	3	8	3	-1.83625	3	-61.4278	HL
1788336603	XAUUSD	M5	4325.69000	Peak	4331.67000	17.10000	0.40	0	16	0	1.06875	0	46.9034	HH
1788343503	XAUUSD	M5	4303.02000	Bottom	4301.79000	-29.88000	-0.69	3	23	3	-1.29913	3	-52.4129	LL
1788358203	XAUUSD	M5	4387.85000	Peak	4397.55000	95.76000	2.23	2	49	2	1.95429	0	62.9014	HH
1788367503	XAUUSD	M5	4366.00000	Bottom	4364.55000	-33.00000	-0.75	3	31	3	-1.06452	3	-46.7899	HL
1788386403	XAUUSD	M5	4391.22000	Peak	4393.07000	28.52000	0.65	0	51	2	0.55922	0	29.2146	LH
1788392103	XAUUSD	M5	4383.47000	Bottom	4381.15000	-11.92000	-0.27	3	19	3	-0.62737	3	-32.1029	HL
1788394203	XAUUSD	M5	4390.26000	Peak	4392.57000	11.42000	0.26	0	7	0	1.63143	0	58.4934	LH
1788395703	XAUUSD	M5	4388.98000	Bottom	4382.63000	-9.94000	-0.23	3	5	3	-1.98800	3	-63.2968	HL
1788411603	XAUUSD	M5	4436.35000	Peak	4440.30000	57.67000	1.32	1	53	2	1.08811	0	47.4163	HH
1788416703	XAUUSD	M5	4421.66000	Bottom	4418.82000	-21.48000	-0.48	3	17	3	-1.26353	3	-51.6407	HL
1788422703	XAUUSD	M5	4435.28000	Peak	4443.70000	24.88000	0.56	0	20	0	1.24400	0	51.2056	HH
1788430803	XAUUSD	M5	4419.83000	Bottom	4419.20000	-24.50000	-0.55	3	27	3	-0.90741	3	-42.2208	HL
1788440403	XAUUSD	M5	4489.84000	Peak	4495.87000	76.67000	1.73	2	32	0	2.39594	0	67.3457	HH
1788443103	XAUUSD	M5	4458.20000	Bottom	4456.75000	-39.12000	-0.87	3	9	3	-4.34667	5	-77.0439	HL
1788448803	XAUUSD	M5	4504.68000	Peak	4510.78000	54.03000	1.21	0	19	0	2.84368	0	70.6254	HH
1788454803	XAUUSD	M5	4487.14000	Bottom	4483.26000	-27.52000	-0.61	3	20	3	-1.37600	3	-53.9924	HL
1788457503	XAUUSD	M5	4491.40000	Peak	4494.69000	11.43000	0.25	0	9	0	1.27000	0	51.7830	LH
1788463503	XAUUSD	M5	4475.85000	Bottom	4472.64000	-22.05000	-0.49	3	20	3	-1.10250	3	-47.7910	LL
1788464703	XAUUSD	M5	4479.37000	Peak	4480.79000	8.15000	0.18	0	4	0	2.03750	0	63.8583	LH
1788466503	XAUUSD	M5	4470.96000	Bottom	4470.42000	-10.37000	-0.23	3	6	3	-1.72833	3	-59.9467	LL
1788473703	XAUUSD	M5	4476.57000	Peak	4478.73000	8.31000	0.19	0	12	0	0.69250	0	34.7026	LH
1788475503	XAUUSD	M5	4474.76000	Bottom	4471.49000	-7.24000	-0.16	3	6	3	-1.20667	3	-50.3505	HL
1788480603	XAUUSD	M5	4480.86000	Peak	4483.24000	11.75000	0.26	0	17	0	0.69118	0	34.6513	HH
1788481803	XAUUSD	M5	4479.42000	Bottom	4472.81000	-10.43000	-0.23	3	4	3	-2.60750	3	-69.0177	HL
1788483303	XAUUSD	M5	4486.54000	Peak	4487.09000	14.28000	0.32	0	5	0	2.85600	0	70.7028	HH
1788494403	XAUUSD	M5	4468.95000	Bottom	4465.51000	-21.58000	-0.48	3	37	3	-0.58324	3	-30.2526	LL
1788496503	XAUUSD	M5	4474.39000	Peak	4474.90000	9.39000	0.21	0	7	0	1.34143	0	53.2964	LH
1788498603	XAUUSD	M5	4469.31000	Bottom	4467.38000	-7.52000	-0.17	3	7	3	-1.07429	3	-47.0510	HL
1788498903	XAUUSD	M5	4473.85000	Peak	4475.23000	7.85000	0.18	0	1	0	7.85000	2	82.7403	HH
1788499803	XAUUSD	M5	4473.23000	Bottom	4466.81000	-8.42000	-0.19	3	3	3	-2.80667	3	-70.3893	LL
1788500403	XAUUSD	M5	4471.00000	Peak	4477.61000	10.80000	0.24	0	2	0	5.40000	2	79.5085	HH
1788504903	XAUUSD	M5	4462.94000	Bottom	4460.05000	-17.56000	-0.39	3	15	3	-1.17067	3	-49.4956	LL
1788507903	XAUUSD	M5	4487.89000	Peak	4490.71000	30.66000	0.69	0	10	0	3.06600	0	71.9359	HH
1788513903	XAUUSD	M5	4466.65000	Bottom	4463.88000	-26.83000	-0.60	3	20	3	-1.34150	3	-53.2979	HL
1788518703	XAUUSD	M5	4474.78000	Peak	4476.42000	12.54000	0.28	0	16	0	0.78375	0	38.0876	LH
1788524103	XAUUSD	M5	4468.02000	Bottom	4464.51000	-11.91000	-0.27	3	18	3	-0.66167	3	-33.4913	HL
1788524703	XAUUSD	M5	4472.68000	Peak	4476.24000	11.73000	0.26	0	2	0	5.86500	2	80.3239	LH
1788526803	XAUUSD	M5	4379.22000	Bottom	4365.49000	-110.75000	-2.47	5	7	3	-15.82143	5	-86.3834	LL
1788535203	XAUUSD	M5	4442.95000	Peak	4448.95000	83.46000	1.91	2	28	0	2.98071	0	71.4539	LH
1788544803	XAUUSD	M5	4412.69000	Bottom	4412.00000	-36.95000	-0.83	3	32	3	-1.15469	3	-49.1063	HL
1788550203	XAUUSD	M5	4437.69000	Peak	4438.41000	26.41000	0.60	0	18	0	1.46722	0	55.7232	LH
1788732003	XAUUSD	M5	4422.64000	Bottom	4417.68000	-20.73000	-0.47	3	18	3	-1.15167	3	-49.0320	HL
1788734703	XAUUSD	M5	4434.02000	Peak	4435.12000	17.44000	0.39	0	9	0	1.93778	0	62.7038	LH
1788741003	XAUUSD	M5	4419.16000	Bottom	4418.53000	-16.59000	-0.37	3	21	3	-0.79000	3	-38.3087	HL
1788741903	XAUUSD	M5	4427.11000	Peak	4429.56000	11.03000	0.25	0	3	0	3.67667	0	74.7844	LH
1788744003	XAUUSD	M5	4396.06000	Bottom	4389.69000	-39.87000	-0.90	3	7	3	-5.69571	3	-80.0420	LL
1788749103	XAUUSD	M5	4417.36000	Peak	4419.05000	29.36000	0.67	0	17	0	1.72706	0	59.9283	LH
1788752703	XAUUSD	M5	4403.71000	Bottom	4401.76000	-17.29000	-0.39	3	12	3	-1.44083	3	-55.2377	HL
1788752819	XAUUSD	M5	4403.71000	Peak	4404.47000	2.71000	0.06	0	0	0	0.00000	0	0.0000	LH
