ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1787567703	XAUUSD	M5	4647.92000	4645.26000	4648.90000	4642.83000	454
1787568003	XAUUSD	M5	4644.17000	4647.88000	4647.95000	4643.80000	500
1787568303	XAUUSD	M5	4645.63000	4644.17000	4645.95000	4641.75000	479
1787568603	XAUUSD	M5	4645.81000	4645.71000	4647.19000	4644.56000	532
1787568903	XAUUSD	M5	4643.31000	4645.79000	4646.79000	4642.48000	516
1787569203	XAUUSD	M5	4645.87000	4643.28000	4646.97000	4640.13000	650
1787569503	XAUUSD	M5	4640.44000	4646.12000	4646.70000	4639.76000	590
1787569803	XAUUSD	M5	4642.16000	4640.59000	4644.81000	4639.17000	563
1787570103	XAUUSD	M5	4644.54000	4642.16000	4645.52000	4641.64000	486
1787570403	XAUUSD	M5	4641.54000	4644.74000	4645.73000	4640.45000	507
1787570703	XAUUSD	M5	4646.32000	4641.44000	4647.66000	4640.87000	460
1787571003	XAUUSD	M5	4650.70000	4646.61000	4650.81000	4643.50000	681
1787571303	XAUUSD	M5	4660.61000	4651.51000	4670.09000	4650.96000	960
1787571603	XAUUSD	M5	4658.83000	4660.42000	4666.44000	4654.11000	878
1787571903	XAUUSD	M5	4649.05000	4658.82000	4661.53000	4648.39000	797
1787572203	XAUUSD	M5	4659.68000	4649.10000	4659.68000	4648.42000	716
1787572503	XAUUSD	M5	4657.93000	4659.52000	4659.97000	4655.55000	610
1787572803	XAUUSD	M5	4652.21000	4657.60000	4658.38000	4650.51000	688
1787573103	XAUUSD	M5	4654.95000	4652.44000	4656.45000	4650.16000	674
1787573403	XAUUSD	M5	4657.26000	4655.31000	4659.99000	4654.04000	648
1787573703	XAUUSD	M5	4653.11000	4657.25000	4657.25000	4651.83000	619
1787574003	XAUUSD	M5	4657.51000	4652.71000	4659.46000	4651.84000	724
1787574303	XAUUSD	M5	4661.74000	4657.35000	4662.68000	4654.95000	682
1787574603	XAUUSD	M5	4654.86000	4661.73000	4661.73000	4645.61000	760
1787574903	XAUUSD	M5	4662.84000	4654.87000	4663.91000	4654.58000	720
1787575203	XAUUSD	M5	4657.41000	4662.84000	4668.37000	4655.30000	710
1787575503	XAUUSD	M5	4661.87000	4657.43000	4661.97000	4654.61000	634
1787575803	XAUUSD	M5	4666.82000	4661.87000	4666.94000	4661.60000	627
1787576103	XAUUSD	M5	4662.86000	4666.91000	4667.36000	4661.50000	693
1787576403	XAUUSD	M5	4667.26000	4662.79000	4671.20000	4661.58000	855
1787576703	XAUUSD	M5	4673.53000	4667.26000	4674.00000	4667.17000	819
1787577003	XAUUSD	M5	4677.27000	4673.58000	4677.83000	4673.31000	839
1787577303	XAUUSD	M5	4672.26000	4677.14000	4678.05000	4671.57000	797
1787577603	XAUUSD	M5	4670.76000	4672.21000	4672.53000	4667.85000	806
1787577903	XAUUSD	M5	4672.27000	4670.85000	4674.75000	4668.63000	810
1787578203	XAUUSD	M5	4679.64000	4672.28000	4680.01000	4670.04000	973
1787578503	XAUUSD	M5	4667.49000	4679.86000	4680.85000	4667.28000	956
