Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1785172502	XAUUSD	M15	4074.82						4076.99417164	4078.61622107	0
1785173402	XAUUSD	M15	4074.56						4075.45652071	4077.03637089	0
1785174302	XAUUSD	M15	4076.29						4074.71511575	4075.87574332	0
1785175202	XAUUSD	M15	4076.76						4074.89732408	4075.38653370	0
1785176102	XAUUSD	M15	4076.82						4075.96267423	4075.67460397	1
1785177002	XAUUSD	M15	4076.33						4077.71657864	4076.69559130	0
1785177902	XAUUSD	M15	4077.88						4079.82508694	4078.26033912	0
1785178802	XAUUSD	M15	4080.32						4081.85450858	4080.05742385	0
1785179702	XAUUSD	M15	4085.76						4083.36722762	4081.71232574	0
1785180602	XAUUSD	M15	4086.90						4083.95714201	4082.83473387	0
1785181502	XAUUSD	M15	4083.36						4083.52632316	4083.18052852	0
1785182402	XAUUSD	M15	4082.16						4082.25895653	4082.71974252	1
1785183302	XAUUSD	M15	4078.70						4080.41668275	4081.56821263	0
1785184202	XAUUSD	M15	4077.08						4078.41265030	4079.99043147	0
1785185102	XAUUSD	M15	4076.64						4076.57861671	4078.28452409	0
1785189602	XAUUSD	M15	4076.70						4075.14925912	4076.71689160	0
1785190502	XAUUSD	M15	4072.18						4074.18981208	4075.45335184	0
1785191402	XAUUSD	M15	4074.87						4073.78282311	4074.61808748	0
1785192302	XAUUSD	M15	4074.27						4073.67673158	4074.14740953	0
1785193202	XAUUSD	M15	4074.32						4073.63250244	4073.88995599	0
1785194102	XAUUSD	M15	4073.18						4073.34743277	4073.61869438	0
1785195002	XAUUSD	M15	4072.05						4072.56284709	4073.09077074	0
1785195902	XAUUSD	M15	4073.33						4071.09477702	4072.09277388	0
1785196802	XAUUSD	M15	4067.16						4068.79620670	4070.44449029	0
1785197702	XAUUSD	M15	4062.08						4065.83044590	4068.13746809	0
1785198602	XAUUSD	M15	4065.54						4062.41872397	4065.27809603	0
1785199502	XAUUSD	M15	4058.08						4058.62196941	4061.95003272	0
1785200402	XAUUSD	M15	4058.12						4054.81177592	4058.38090432	0
1785201302	XAUUSD	M15	4047.54						4051.20921813	4054.79506122	0
1785202202	XAUUSD	M15	4048.88						4048.28941459	4051.54223791	0
1785203102	XAUUSD	M15	4045.26						4046.16559204	4048.85391497	0
1785204002	XAUUSD	M15	4046.41						4044.94846167	4046.90118832	0
1785204902	XAUUSD	M15	4046.22						4044.53029343	4045.71574088	0
1785205802	XAUUSD	M15	4044.31						4044.74675794	4045.23124941	0
1785206702	XAUUSD	M15	4042.07						4045.39822908	4045.31473925	1
1785207602	XAUUSD	M15	4045.96						4046.27980791	4045.79727358	0
1785208502	XAUUSD	M15	4047.81						4047.02000178	4046.40863768	0
1785209402	XAUUSD	M15	4048.40						4047.36656490	4046.88760129	0
1785210302	XAUUSD	M15	4049.53						4047.21850427	4047.05305278	0
1785211202	XAUUSD	M15	4044.13						4046.56463784	4046.80884531	1
1785212102	XAUUSD	M15	4045.64						4045.67769091	4046.24326811	0
1785213002	XAUUSD	M15	4047.63						4044.71097640	4045.47712226	0
1785213902	XAUUSD	M15	4042.14						4043.81140205	4044.64426216	0
1785214802	XAUUSD	M15	4042.46						4043.27920225	4043.96173220	0
1785215702	XAUUSD	M15	4043.39						4043.20628967	4043.58401093	0
1785216602	XAUUSD	M15	4041.64						4043.58576021	4043.58488557	1
1785217502	XAUUSD	M15	4045.12						4044.38893282	4043.98690920	0
1785218402	XAUUSD	M15	4044.21						4045.42370882	4044.70530901	0
1785219302	XAUUSD	M15	4047.63						4046.57629090	4045.64079995	0
1785220202	XAUUSD	M15	4049.91						4047.63552369	4046.63816182	0
1785221102	XAUUSD	M15	4048.45						4048.44380941	4047.54098561	0
1785222002	XAUUSD	M15	4048.91						4049.00508068	4048.27303315	0
1785222902	XAUUSD	M15	4050.08						4049.29574768	4048.78439042	0
1785223802	XAUUSD	M15	4049.39						4049.26767476	4049.02603259	0
1785224702	XAUUSD	M15	4047.37						4048.90508921	4048.96556090	1
1785225602	XAUUSD	M15	4044.31				4055.13000		4048.20275856	4048.58415973	0
1785226502	XAUUSD	M15	4049.42						4047.10683083	4047.84549528	0
1785227402	XAUUSD	M15	4043.28						4045.34786059	4046.59667794	0
1785228302	XAUUSD	M15	4045.56						4042.96821125	4044.78244459	0
1785229202	XAUUSD	M15	4041.00						4039.88037279	4042.33140869	0
1785230102	XAUUSD	M15	4040.31						4036.24723864	4039.28932367	0
1785231002	XAUUSD	M15	4033.32						4032.26226556	4035.77579461	0
1785231902	XAUUSD	M15	4023.61						4028.37403121	4032.07491291	0
1785232802	XAUUSD	M15	4024.34						4025.14867752	4028.61179522	0
1785233702	XAUUSD	M15	4017.62						4022.87144139	4025.74161830	0
1785234602	XAUUSD	M15	4022.53						4021.89582265	4023.81872048	0
1785235502	XAUUSD	M15	4026.55						4022.10729259	4022.96300653	0
1785236402	XAUUSD	M15	4024.05						4023.27297238	4023.11798945	1
1785237302	XAUUSD	M15	4027.64						4025.21547385	4024.16673165	0
1785238202	XAUUSD	M15	4027.24						4027.50570356	4025.83621760	0
1785239102	XAUUSD	M15	4028.19						4029.78030499	4027.80826129	0
1785240002	XAUUSD	M15	4027.75						4031.63902493	4029.72364311	0
1785240902	XAUUSD	M15	4034.39						4032.77120585	4031.24742448	0
1785241802	XAUUSD	M15	4033.61						4032.82496837	4032.03619642	0
1785242702	XAUUSD	M15	4029.53						4031.81253771	4031.92436707	1
1785243602	XAUUSD	M15	4032.78						4030.00444999	4030.96440853	0
1785244502	XAUUSD	M15	4028.93						4027.64793971	4029.30617412	0
1785245402	XAUUSD	M15	4025.37						4025.28509395	4027.29563404	0
1785246302	XAUUSD	M15	4022.11						4023.49359279	4025.39461341	0
1785247202	XAUUSD	M15	4025.51						4022.75889616	4024.07675479	0
1785248102	XAUUSD	M15	4022.22					4011.71000	4023.24038426	4023.65856952	0
1785249002	XAUUSD	M15	4022.57						4025.08333449	4024.37095201	1
1785249902	XAUUSD	M15	4024.52						4028.12266818	4026.24681010	0
1785250802	XAUUSD	M15	4033.66						4031.97781855	4029.11231432	0
1785251702	XAUUSD	M15	4035.43						4035.95797538	4032.53514485	0
1785252602	XAUUSD	M15	4041.40						4039.55407303	4036.04460894	0
1785253502	XAUUSD	M15	4046.08				4047.13000		4042.22932971	4039.13696932	0
1785254402	XAUUSD	M15	4044.72						4043.58549538	4041.36123235	0
1785255302	XAUUSD	M15	4042.27						4043.57386675	4042.46754955	0
1785256202	XAUUSD	M15	4040.53						4042.33898774	4042.40326865	1
1785257102	XAUUSD	M15	4037.59						4040.14853803	4041.27590334	0
1785258002	XAUUSD	M15	4037.07						4037.33344708	4039.30467521	0
1785258902	XAUUSD	M15	4037.58						4034.19318183	4036.74892852	0
1785259802	XAUUSD	M15	4028.25						4031.02716547	4033.88804700	0
1785260702	XAUUSD	M15	4027.82						4028.32154420	4031.10479560	0
