Non_A_timestamp	Non_A_symbol	Non_A_timeframe	Non_A_close	Non_A_Base_FL	Non_A_UOEDT	Non_A_LOEDT	Non_A_horiz_high_map	Non_A_horiz_low_map	Non_A_ssa	Non_A_ema_ssa	Non_A_crossing
1788467102	XAUUSD	M5	4471.65	4484.69467	4499.20567	4460.14861			4470.78221732	4471.14799786	0
1788467402	XAUUSD	M5	4472.18	4484.47653	4498.98753	4459.93047			4471.05731031	4471.10265408	0
1788467702	XAUUSD	M5	4471.60	4484.25839	4498.76940	4459.71233			4471.61269165	4471.35767287	1
1788468002	XAUUSD	M5	4472.41	4484.04025	4498.55126	4459.49419			4472.39085102	4471.87426194	0
1788468302	XAUUSD	M5	4472.84	4483.82212	4498.33312	4459.27606			4473.28384745	4472.57905470	0
1788468602	XAUUSD	M5	4473.54	4483.60398	4498.11498	4459.05792			4474.18257787	4473.38081628	0
1788468902	XAUUSD	M5	4473.19	4483.38584	4497.89684	4458.83978			4474.97820533	4474.17951081	0
1788472802	XAUUSD	M5	4476.43	4483.16770	4497.67871	4458.62164			4475.61575936	4474.89763509	0
1788473102	XAUUSD	M5	4475.60	4482.94956	4497.46057	4458.40350			4475.95852349	4475.42807929	0
1788473402	XAUUSD	M5	4478.06	4482.73143	4497.24243	4458.18536			4476.02234061	4475.72520995	0
1788473702	XAUUSD	M5	4476.57	4482.51329	4497.02429	4457.96723			4475.78221010	4475.75371002	0
1788474002	XAUUSD	M5	4474.85	4482.29515	4496.80615	4457.74909			4475.37465636	4475.56418319	1
1788474302	XAUUSD	M5	4475.10	4482.07701	4496.58802	4457.53095			4474.95965455	4475.26191887	0
1788474602	XAUUSD	M5	4474.72	4481.85887	4496.36988	4457.31281			4474.62099117	4474.94145502	0
1788474902	XAUUSD	M5	4472.91	4481.64073	4496.15174	4457.09467			4474.44237866	4474.69191684	0
1788475202	XAUUSD	M5	4473.85	4481.42260	4495.93360	4456.87654			4474.46737405	4474.57964544	0
1788475502	XAUUSD	M5	4474.76	4481.20446	4495.71546	4456.65840			4474.62674264	4474.60319404	1
1788475802	XAUUSD	M5	4474.78	4480.98632	4495.49732	4456.44026			4474.80046319	4474.70182862	0
1788476102	XAUUSD	M5	4474.53	4480.76818	4495.27919	4456.22212			4474.89916894	4474.80049878	0
1788476402	XAUUSD	M5	4476.58	4480.55004	4495.06105	4456.00398			4474.86927366	4474.83488622	0
1788476702	XAUUSD	M5	4475.83	4480.33191	4494.84291	4455.78585			4474.65348377	4474.74418499	1
1788477002	XAUUSD	M5	4474.19	4480.11377	4494.62477	4455.56771			4474.32137741	4474.53278120	0
1788477302	XAUUSD	M5	4473.44	4479.89563	4494.40663	4455.34957			4474.02469554	4474.27873837	0
1788477602	XAUUSD	M5	4472.32	4479.67749	4494.18850	4455.13143			4473.92674094	4474.10273965	0
1788477902	XAUUSD	M5	4473.86	4479.45935	4493.97036	4454.91329			4474.16522031	4474.13397998	1
1788478202	XAUUSD	M5	4474.82	4479.24122	4493.75222	4454.69515			4474.75324168	4474.44361083	0
1788478502	XAUUSD	M5	4477.85	4479.02308	4493.53408	4454.47702			4475.64573253	4475.04467168	0
1788478802	XAUUSD	M5	4477.33	4478.80494	4493.31594	4454.25888			4476.67337954	4475.85902561	0
1788479102	XAUUSD	M5	4475.00	4478.58680	4493.09781	4454.04074			4477.70798423	4476.78350492	0
1788479402	XAUUSD	M5	4477.08	4478.36866	4492.87967	4453.82260			4478.64957558	4477.71654025	0
1788479702	XAUUSD	M5	4480.02	4478.15053	4492.66153	4453.60446			4479.30564742	4478.51109384	0
1788480002	XAUUSD	M5	4481.03	4477.93239	4492.44339	4453.38633			4479.52442843	4479.01776113	0
1788480302	XAUUSD	M5	4480.02	4477.71425	4492.22525	4453.16819			4479.30361474	4479.16068794	0
1788480602	XAUUSD	M5	4480.86	4477.49611	4492.00711	4452.95005			4478.78496266	4478.97282530	1
1788480902	XAUUSD	M5	4477.11	4477.27797	4491.78898	4452.73191			4478.16239100	4478.56760815	0
1788481202	XAUUSD	M5	4477.96	4477.05983	4491.57084	4452.51377			4477.75083986	4478.15922400	0
1788481502	XAUUSD	M5	4474.62	4476.84170	4491.35270	4452.29564			4477.71142009	4477.93532205	0
1788481802	XAUUSD	M5	4479.42	4476.62356	4491.13456	4452.07750			4478.21998358	4478.07765281	1
1788482102	XAUUSD	M5	4476.25	4476.40542	4490.91642	4451.85936			4479.10119482	4478.58942382	0
1788482402	XAUUSD	M5	4482.24	4476.18728	4490.69829	4451.64122			4480.26257383	4479.42599882	0
1788482702	XAUUSD	M5	4481.35	4475.96914	4490.48015	4451.42308			4481.27284286	4480.34942084	0
1788483002	XAUUSD	M5	4482.02	4475.75101	4490.26201	4451.20495			4481.86385746	4481.10663915	0
1788483302	XAUUSD	M5	4486.54	4475.53287	4490.04387	4450.98681	4487.09000		4481.77997725	4481.44330820	0
1788483602	XAUUSD	M5	4478.35	4475.31473	4489.82573	4450.76867			4480.79188032	4481.11759426	1
1788483902	XAUUSD	M5	4477.91	4475.09659	4489.60760	4450.55053			4479.14814688	4480.13287057	0
1788484202	XAUUSD	M5	4474.91	4474.87845	4489.38946	4450.33239			4477.05842923	4478.59564990	0
1788484502	XAUUSD	M5	4475.78	4474.66032	4489.17132	4450.11425			4474.89150728	4476.74357859	0
1788484802	XAUUSD	M5	4474.87	4474.44218	4488.95318	4449.89612			4472.94319283	4474.84338571	0
1788485102	XAUUSD	M5	4470.87	4474.22404	4488.73504	4449.67798			4471.52509662	4473.18424117	0
1788485402	XAUUSD	M5	4469.79	4474.00590	4488.51691	4449.45984			4470.93564913	4472.05994515	0
1788485702	XAUUSD	M5	4473.38	4473.78776	4488.29877	4449.24170			4471.24273766	4471.65134141	0
1788486002	XAUUSD	M5	4473.98	4473.56963	4488.08063	4449.02356			4472.25502389	4471.95318265	1
1788486302	XAUUSD	M5	4468.94	4473.35149	4487.86249	4448.80543		4467.19000	4473.73439814	4472.84379039	0
1788486602	XAUUSD	M5	4473.61	4473.13335	4487.64435	4448.58729			4475.51291018	4474.17835028	0
1788486902	XAUUSD	M5	4478.86	4472.91521	4487.42621	4448.36915			4477.15999660	4475.66917344	0
1788487202	XAUUSD	M5	4480.79	4472.69707	4487.20808	4448.15101			4478.27993647	4476.97455496	0
1788487502	XAUUSD	M5	4478.69	4472.47893	4486.98994	4447.93287			4478.68664761	4477.83060128	0
1788487802	XAUUSD	M5	4479.32	4472.26080	4486.77180	4447.71474			4478.43878643	4478.13469386	0
1788488102	XAUUSD	M5	4478.49	4472.04266	4486.55366	4447.49660			4477.66583974	4477.90026680	1
1788488402	XAUUSD	M5	4477.02	4471.82452	4486.33552	4447.27846			4476.61807560	4477.25917120	0
1788488702	XAUUSD	M5	4473.95	4471.60638	4486.11739	4447.06032			4475.56931459	4476.41424289	0
1788489002	XAUUSD	M5	4471.03	4471.38824	4485.89925	4446.84218			4474.78943955	4475.60184122	0
1788489302	XAUUSD	M5	4476.51	4471.17011	4485.68111	4446.62405			4474.45936289	4475.03060206	0
1788489602	XAUUSD	M5	4470.92	4470.95197	4485.46297	4446.40591			4474.43761559	4474.73410882	0
1788489902	XAUUSD	M5	4475.99	4470.73383	4485.24483	4446.18777			4474.76249663	4474.74830273	1
1788490202	XAUUSD	M5	4479.46	4470.51569	4485.02670	4445.96963			4475.15103862	4474.94967067	0
1788490502	XAUUSD	M5	4477.37	4470.29755	4484.80856	4445.75149			4475.36691582	4475.15829325	0
1788490802	XAUUSD	M5	4476.19	4470.07942	4484.59042	4445.53335			4475.36994851	4475.26412088	0
1788491102	XAUUSD	M5	4471.81	4469.86128	4484.37228	4445.31522			4475.12844410	4475.19628249	1
1788491402	XAUUSD	M5	4473.44	4469.64314	4484.15414	4445.09708			4474.76420414	4474.98024331	0
1788491702	XAUUSD	M5	4472.93	4469.42500	4483.93601	4444.87894			4474.26750239	4474.62387285	0
1788492002	XAUUSD	M5	4473.79	4469.20686	4483.71787	4444.66080			4473.68299142	4474.15343214	0
1788492302	XAUUSD	M5	4472.49	4468.98872	4483.49973	4444.44266			4473.00843396	4473.58093305	0
1788492602	XAUUSD	M5	4474.79	4468.77059	4483.28159	4444.22453			4472.26032368	4472.92062837	0
1788492902	XAUUSD	M5	4472.89	4468.55245	4483.06345	4444.00639			4471.39752583	4472.15907710	0
1788493202	XAUUSD	M5	4469.21	4468.33431	4482.84531	4443.78825			4470.48316238	4471.32111974	0
1788493502	XAUUSD	M5	4469.30	4468.11617	4482.62718	4443.57011			4469.64946806	4470.48529390	0
1788493802	XAUUSD	M5	4469.54	4467.89803	4482.40904	4443.35197			4468.94171878	4469.71350634	0
1788494102	XAUUSD	M5	4467.04	4467.67990	4482.19090	4443.13384			4468.42041433	4469.06696033	0
1788494402	XAUUSD	M5	4468.95	4467.46176	4481.97276	4442.91570		4465.51000	4468.22392279	4468.64544156	0
1788494702	XAUUSD	M5	4468.10	4467.24362	4481.75462	4442.69756			4468.36822692	4468.50683424	0
1788495002	XAUUSD	M5	4469.34	4467.02548	4481.53649	4442.47942			4468.88263694	4468.69473559	1
1788495302	XAUUSD	M5	4469.61	4466.80734	4481.31835	4442.26128			4469.70317588	4469.19895574	0
1788495602	XAUUSD	M5	4470.17	4466.58921	4481.10021	4442.04314			4470.74725564	4469.97310569	0
1788495902	XAUUSD	M5	4471.69	4466.37107	4480.88207	4441.82501			4471.85684722	4470.91497645	0
1788496202	XAUUSD	M5	4472.24	4466.15293	4480.66393	4441.60687			4472.82974815	4471.87236230	0
1788496502	XAUUSD	M5	4474.39	4465.93479	4480.44580	4441.38873			4473.50722454	4472.68979342	0
1788496802	XAUUSD	M5	4474.18	4465.71665	4480.22766	4441.17059			4473.76125958	4473.22552650	0
1788497102	XAUUSD	M5	4473.08	4465.49852	4480.00952	4440.95245			4473.60130066	4473.41341358	0
1788497402	XAUUSD	M5	4474.35	4465.28038	4479.79138	4440.73432			4473.13206382	4473.27273870	1
1788497702	XAUUSD	M5	4473.75	4465.06224	4479.57324	4440.51618			4472.45144372	4472.86209121	0
1788498002	XAUUSD	M5	4470.86	4464.84410	4479.35510	4440.29804			4471.72578611	4472.29393866	0
1788498302	XAUUSD	M5	4469.15	4464.62596	4479.13697	4440.07990			4471.16913956	4471.73153911	0
1788498602	XAUUSD	M5	4469.31	4464.40782	4478.91883	4439.86176			4470.89894954	4471.31524433	0
1788498902	XAUUSD	M5	4473.85	4464.18969	4478.70069	4439.64363			4470.91580569	4471.11552501	0
1788499202	XAUUSD	M5	4471.01	4463.97155	4478.48255	4439.42549			4471.04815254	4471.08183877	0
1788499502	XAUUSD	M5	4467.58	4463.75341	4478.26441	4439.20735			4471.28740633	4471.18462255	1
1788499802	XAUUSD	M5	4473.23	4463.53527	4478.04628	4438.98921			4471.63003817	4471.40733036	0
1788500102	XAUUSD	M5	4476.48	4463.31713	4477.82814	4438.77107			4471.84016794	4471.62374915	0
1788500402	XAUUSD	M5	4471.00	4463.09900	4477.61000	4438.55294	4477.61000		4471.78565882	4471.70470398	0
