timestamp	symbol	timeframe	close	ssa	ema_ssa	ssa_high	ssa_low	SSA Crossing
1776340803	XAUUSD	H3	4788.70	4798.53619	4804.67441	4816.98858	4790.52680	0
1776351603	XAUUSD	H3	4789.22	4790.88985	4797.78213	4807.31846	4783.78916	0
1776362403	XAUUSD	H3	4790.84	4786.61006	4792.19610	4799.99807	4779.09149	0
1776373203	XAUUSD	H3	4792.13	4787.05684	4789.62647	4797.65459	4777.69331	0
1776384003	XAUUSD	H3	4784.81	4792.40504	4791.01576	4801.42551	4779.84453	1
1776394803	XAUUSD	H3	4794.41	4801.65064	4796.33320	4810.63575	4785.31363	0
1776405603	XAUUSD	H3	4796.09	4812.42335	4804.37828	4823.13968	4792.11215	0
1776416403	XAUUSD	H3	4799.19	4822.01198	4813.19513	4836.02693	4798.22477	0
1776427203	XAUUSD	H3	4873.15	4827.88611	4820.54062	4845.92236	4801.55530	0
1776438003	XAUUSD	H3	4862.60	4827.25315	4823.89688	4849.02295	4800.53621	0
1776448803	XAUUSD	H3	4833.02	4820.62612	4822.26150	4844.87336	4794.20899	1
1776632403	XAUUSD	H3	4755.07	4810.56074	4816.41112	4834.99878	4784.79527	0
1776643203	XAUUSD	H3	4797.41	4801.58930	4809.00021	4823.56657	4777.05249	0
1776654003	XAUUSD	H3	4790.87	4795.55059	4802.27540	4813.38999	4773.39278	0
1776664803	XAUUSD	H3	4796.19	4794.27337	4798.27438	4807.44186	4774.64949	0
1776675603	XAUUSD	H3	4810.44	4797.78925	4798.03182	4806.77859	4780.79767	0
1776686403	XAUUSD	H3	4805.31	4804.32603	4801.17892	4810.88140	4790.28472	1
1776697203	XAUUSD	H3	4806.62	4811.38596	4806.28244	4817.42960	4800.07622	0
1776708003	XAUUSD	H3	4820.81	4815.97405	4811.12825	4823.82182	4806.95212	0
1776718803	XAUUSD	H3	4821.76	4815.34326	4813.23575	4826.89725	4807.90189	0
1776729603	XAUUSD	H3	4806.90	4808.31921	4810.77748	4824.48593	4801.10378	1
1776740403	XAUUSD	H3	4784.33	4795.68014	4803.22881	4816.04884	4787.14936	0
1776751203	XAUUSD	H3	4786.04	4779.80253	4791.51567	4803.03637	4768.39963	0
1776762003	XAUUSD	H3	4794.61	4763.24181	4777.37874	4787.79735	4748.02938	0
1776772803	XAUUSD	H3	4738.97	4748.70951	4763.04413	4772.86143	4729.35494	0
1776783603	XAUUSD	H3	4711.38	4739.43078	4751.23745	4760.66740	4716.40665	0
1776794403	XAUUSD	H3	4720.16	4736.54890	4743.89318	4753.39152	4711.29623	0
1776805203	XAUUSD	H3	4737.96	4739.02089	4741.45703	4751.78434	4714.23717	0
1776816003	XAUUSD	H3	4755.81	4744.30589	4742.88146	4754.19749	4722.14715	1
1776826803	XAUUSD	H3	4767.64	4749.45897	4746.17022	4758.16900	4731.53456	0
1776837603	XAUUSD	H3	4757.14	4751.97987	4749.07504	4761.25472	4738.98039	0
1776848403	XAUUSD	H3	4750.31	4750.95110	4750.01307	4761.84269	4742.36154	0
1776859203	XAUUSD	H3	4736.03	4746.48434	4748.24871	4759.54524	4740.89793	1
1776870003	XAUUSD	H3	4737.15	4739.66667	4743.95769	4754.80472	4735.19128	0
1776880803	XAUUSD	H3	4740.38	4731.91137	4737.93453	4748.96910	4726.62452	0
1776891603	XAUUSD	H3	4727.72	4724.42698	4731.18076	4742.98917	4716.68923	0
1776902403	XAUUSD	H3	4699.23	4718.26353	4724.72214	4737.75832	4706.93731	0
1776913203	XAUUSD	H3	4713.60	4714.25373	4719.48794	4733.51862	4698.93893	0
1776924003	XAUUSD	H3	4703.28	4711.74320	4715.61557	4730.77023	4693.14818	0
1776934803	XAUUSD	H3	4720.71	4709.93533	4712.77545	4728.49052	4689.08679	0
1776945603	XAUUSD	H3	4733.72	4707.67379	4710.22462	4725.99589	4686.23814	0
