TimeStamp	symbol	timeframe	close	Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1776044706	XAUUSD	M15	4721.37000	Peak	4728.36000	89.66000	1.93	0	15	0	5.97733	0	80.5024	LH
1776052806	XAUUSD	M15	4714.72000	Bottom	4708.62000	-19.74000	-0.42	3	9	3	-2.19333	3	-65.4905	HL
1776066306	XAUUSD	M15	4733.67000	Peak	4740.01000	31.39000	0.67	0	15	0	2.09267	0	64.4588	HH
1776080706	XAUUSD	M15	4706.83000	Bottom	4703.77000	-36.24000	-0.76	3	16	3	-2.26500	3	-66.1785	LL
1776087906	XAUUSD	M15	4730.56000	Peak	4744.59000	40.82000	0.87	0	8	0	5.10250	0	78.9116	HH
1776092406	XAUUSD	M15	4707.72000	Bottom	4700.51000	-44.08000	-0.93	3	5	3	-8.81600	3	-83.5286	LL
1776134706	XAUUSD	M15	4775.32000	Peak	4777.24000	76.73000	1.63	0	43	1	1.78442	0	60.7334	HH
1776144606	XAUUSD	M15	4761.19000	Bottom	4757.92000	-19.32000	-0.40	3	11	3	-1.75636	3	-60.3446	HL
1776150006	XAUUSD	M15	4790.20000	Peak	4796.16000	38.24000	0.80	0	6	0	6.37333	0	81.0828	HH
1776162606	XAUUSD	M15	4767.71000	Bottom	4752.60000	-43.56000	-0.91	3	14	3	-3.11143	3	-72.1828	LL
1776204006	XAUUSD	M15	4844.74000	Peak	4850.77000	98.17000	2.07	0	42	1	2.33738	0	66.8373	HH
1776213006	XAUUSD	M15	4830.11000	Bottom	4827.08000	-23.69000	-0.49	3	10	3	-2.36900	3	-67.1145	HL
1776215706	XAUUSD	M15	4850.79000	Peak	4871.22000	44.14000	0.91	0	3	0	14.71333	0	86.1118	HH
1776246306	XAUUSD	M15	4798.21000	Bottom	4786.23000	-84.99000	-1.74	3	34	3	-2.49971	3	-68.1963	LL
1776262506	XAUUSD	M15	4825.22000	Peak	4830.39000	44.16000	0.92	0	18	0	2.45333	0	67.8238	LH
1776267006	XAUUSD	M15	4803.64000	Bottom	4787.17000	-43.22000	-0.89	3	5	3	-8.64400	3	-83.4009	HL
1776315606	XAUUSD	M15	4834.26000	Peak	4838.38000	51.21000	1.07	0	50	2	1.02420	0	45.6850	HH
1776335406	XAUUSD	M15	4808.40000	Bottom	4805.21000	-33.17000	-0.69	3	22	3	-1.50773	3	-56.4457	HL
1776346206	XAUUSD	M15	4816.26000	Peak	4823.81000	18.60000	0.39	0	12	0	1.55000	0	57.1715	LH
1776349806	XAUUSD	M15	4787.73000	Bottom	4772.67000	-51.14000	-1.06	3	4	3	-12.78500	5	-85.5276	LL
1776368706	XAUUSD	M15	4793.52000	Peak	4798.58000	25.91000	0.54	0	21	0	1.23381	0	50.9753	LH
1776384006	XAUUSD	M15	4790.40000	Bottom	4786.10000	-12.48000	-0.26	3	13	3	-0.96000	3	-43.8309	HL
1776386706	XAUUSD	M15	4794.90000	Peak	4801.12000	15.02000	0.31	0	3	0	5.00667	0	78.7047	HH
1776389406	XAUUSD	M15	4777.87000	Bottom	4768.07000	-33.05000	-0.69	3	3	3	-11.01667	5	-84.8134	LL
1776402006	XAUUSD	M15	4804.78000	Peak	4805.97000	37.90000	0.79	0	14	0	2.70714	0	69.7261	HH
1776411906	XAUUSD	M15	4784.38000	Bottom	4778.83000	-27.14000	-0.56	3	11	3	-2.46727	3	-67.9370	HL
1776430806	XAUUSD	M15	4883.60000	Peak	4889.21000	110.38000	2.31	0	21	0	5.25619	0	79.2281	HH
1776642306	XAUUSD	M15	4755.07000	Bottom	4736.96000	-152.25000	-3.11	5	39	4	-3.90385	3	-75.6322	LL
1776649506	XAUUSD	M15	4807.60000	Peak	4814.28000	77.32000	1.63	0	8	0	9.66500	1	84.0928	LH
1776663006	XAUUSD	M15	4780.97000	Bottom	4779.80000	-34.48000	-0.72	3	15	3	-2.29867	3	-66.4893	HL
1776669306	XAUUSD	M15	4797.92000	Peak	4805.79000	25.99000	0.54	0	7	0	3.71286	0	74.9260	LH
1776677406	XAUUSD	M15	4791.96000	Bottom	4783.51000	-22.28000	-0.46	3	9	3	-2.47556	3	-68.0038	HL
1776695406	XAUUSD	M15	4814.18000	Peak	4827.74000	44.23000	0.92	0	20	0	2.21150	0	65.6684	HH
1776696306	XAUUSD	M15	4805.31000	Bottom	4792.42000	-35.32000	-0.73	3	1	3	-35.32000	5	-88.3782	HL
1776723306	XAUUSD	M15	4828.53000	Peak	4833.25000	40.83000	0.85	0	26	0	1.57038	0	57.5116	HH
1776754806	XAUUSD	M15	4782.82000	Bottom	4772.78000	-60.47000	-1.25	3	35	3	-1.72771	3	-59.9378	LL
1776771906	XAUUSD	M15	4794.61000	Peak	4797.91000	25.13000	0.53	0	19	0	1.32263	0	52.9082	LH
1776799806	XAUUSD	M15	4671.47000	Bottom	4668.61000	-129.30000	-2.69	5	31	3	-4.17097	3	-76.5177	LL
1776841206	XAUUSD	M15	4765.67000	Peak	4772.15000	103.54000	2.22	1	42	1	2.46524	0	67.9205	LH
1776875406	XAUUSD	M15	4728.30000	Bottom	4724.03000	-48.12000	-1.01	3	38	4	-1.26632	3	-51.7021	HL
1776883506	XAUUSD	M15	4741.69000	Peak	4749.34000	25.31000	0.54	0	9	0	2.81222	0	70.4251	LH
1776903306	XAUUSD	M15	4741.59000	Bottom	4694.34000	-55.00000	-1.16	3	18	3	-3.05556	3	-71.8781	LL
1776905106	XAUUSD	M15	4748.05000	Peak	4753.33000	58.99000	1.26	0	2	0	29.49500	2	88.0582	HH
1776922206	XAUUSD	M15	4701.58000	Bottom	4693.06000	-60.27000	-1.27	3	19	3	-3.17211	3	-72.5026	LL
